Name,Height(cm),Team,Year
Darren Randolph,188,West Ham United,2022
Romain Saïss,188,Wolverhampton Wanderers,2022
Boubakary Soumaré,188,Leicester City,2022
Jason Steele,188,Brighton & Hove Albion,2022
John Stones,188,Manchester City,2022
Takehiro Tomiyasu,188,Arsenal FC,2022
Eric Bailly,187,Manchester United,2022
Rodrigo Bentancur,187,Tottenham Hotspur,2022
Mika Biereth,187,Arsenal FC,2022
Lewis Brunt,187,Leicester City,2022
Kallum Cesay,187,Tottenham Hotspur,2022
Andreas Christensen,187,Chelsea FC,2022
Carney Chukwuemeka,187,Aston Villa,2022
 Cristiano Ronaldo,187,Manchester United,2022
Odsonne Édouard,187,Crystal Palace,2022
Isaac Hayden,187,Newcastle United,2022
Jordan Henderson,187,Liverpool FC,2022
Mason Holgate,187,Everton FC,2022
 João Pedro,187,Watford FC,2022
Christian Kabasele,187,Watford FC,2022
Alex Kirk,187,Arsenal FC,2022
Alex Král,187,West Ham United,2022
Victor Lindelöf,187,Manchester United,2022
 Lyanco,187,Southampton FC,2022
Christian Nørgaard,187,Brentford FC,2022
Odel Offiah,187,Brighton & Hove Albion,2022
Myles Peart-Harris,187,Brentford FC,2022
Ethan Pinnock,187,Brentford FC,2022
 Rúben Dias,187,Manchester City,2022
Davinson Sánchez,187,Tottenham Hotspur,2022
Moussa Sissoko,187,Watford FC,2022
 Toti,187,Wolverhampton Wanderers,2022
Sam Waller,187,Burnley FC,2022
 Álvaro Fernández,186,Brentford FC,2022
 Álvaro Fernández,186,Manchester United,2022
Daniel Amartey,186,Leicester City,2022
Jamal Baptiste,186,West Ham United,2022
Willy Caballero,186,Southampton FC,2022
Liam Cooper,186,Leeds United,2022
Liam Delap,186,Manchester City,2022
Matt Doherty,186,Tottenham Hotspur,2022
Wesley Fofana,186,Leicester City,2022
Jóhann Guðmundsson,186,Burnley FC,2022
 Joelinton,186,Newcastle United,2022
Ozan Kabak,186,Norwich City,2022
Juraj Kucka,186,Watford FC,2022
Dejan Kulusevski,186,Tottenham Hotspur,2022
 Llorente,186,Leeds United,2022
Isaac Mabaya,186,Liverpool FC,2022
Luka Milivojević,186,Crystal Palace,2022
Armstrong Oko-Flex,186,West Ham United,2022
Fabian Schär,186,Newcastle United,2022
Gylfi Sigurðsson,186,Everton FC,2022
Bobby Thomas,186,Burnley FC,2022
Joel Ward,186,Crystal Palace,2022
Ben White,186,Arsenal FC,2022
Joe Willock,186,Newcastle United,2022
Granit Xhaka,186,Arsenal FC,2022
Patrick Bamford,185,Leeds United,2022
Ross Barkley,185,Chelsea FC,2022
Ashley Barnes,185,Burnley FC,2022
Matty Cash,185,Aston Villa,2022
Timothy Castagne,185,Leicester City,2022
Ciaran Clark,185,Newcastle United,2022
Conor Coady,185,Wolverhampton Wanderers,2022
Jack Cork,185,Burnley FC,2022
 Fábio Silva,185,Wolverhampton Wanderers,2022
Ben Gibson,185,Norwich City,2022
Pierre-Emile Højbjerg,185,Tottenham Hotspur,2022
Will Hughes,185,Crystal Palace,2022
Kelechi Iheanacho,185,Leicester City,2022
Curtis Jones,185,Liverpool FC,2022
Phil Jones,185,Manchester United,2022
Pierre Lees-Melou,185,Norwich City,2022
Luke Mbete,185,Manchester City,2022
Jon McCracken,185,Norwich City,2022
Thomas McGill,185,Brighton & Hove Albion,2022
Benjamin Mendy,185,Manchester City,2022
Kris Moore,185,Leeds United,2022
Tyler Morton,185,Liverpool FC,2022
Nicolas N´Koulou,185,Watford FC,2022
Thomas Partey,185,Arsenal FC,2022
Jordan Pickford,185,Everton FC,2022
Marcus Rashford,185,Manchester United,2022
Declan Rice,185,West Ham United,2022
Jay Rodriguez,185,Burnley FC,2022
Cristian Romero,185,Tottenham Hotspur,2022
 Samir De Souza,185,Watford FC,2022
Josh Sargent,185,Norwich City,2022
Ismaïla Sarr,185,Watford FC,2022
Xavier Simons,185,Chelsea FC,2022
Jude Soonsup-Bell,185,Chelsea FC,2022
Çağlar Söyüncü,185,Leicester City,2022
Dale Stephens,185,Burnley FC,2022
Jack Stephens,185,Southampton FC,2022
James Tarkowski,185,Burnley FC,2022
Antef Tsoungui,185,Brighton & Hove Albion,2022
Ed Turns,185,Brighton & Hove Albion,2022
Harvey Vale,185,Chelsea FC,2022
Danny Welbeck,185,Brighton & Hove Albion,2022
Charlie Whitaker,185,Everton FC,2022
Édinson Cavani,184,Manchester United,2022
Matthew Craig,184,Tottenham Hotspur,2022
Joshua Dasilva,184,Brentford FC,2022
Nathan Ferguson,184,Crystal Palace,2022
Junior Firpo,184,Leeds United,2022
Ben Godfrey,184,Everton FC,2022
Vitaly Janelt,184,Brentford FC,2022
Emil Krafth,184,Newcastle United,2022
Enock Mwepu,184,Brighton & Hove Albion,2022
Jeremy Ngakia,184,Watford FC,2022
 Nuno Tavares,184,Arsenal FC,2022
Michael Olise,184,Crystal Palace,2022
 Richarlison,184,Everton FC,2022
Haydon Roberts,184,Brighton & Hove Albion,2022
Mads Roerslev,184,Brentford FC,2022
 Saúl Ñíguez,184,Chelsea FC,2022
Jonjo Shelvey,184,Newcastle United,2022
Heung-min Son,184,Tottenham Hotspur,2022
Jacob Sørensen,184,Norwich City,2022
Japhet Tanganga,184,Tottenham Hotspur,2022
Donny van de Beek,184,Everton FC,2022
Joël Veltman,184,Brighton & Hove Albion,2022
Stuart Armstrong,183,Southampton FC,2022
Ryan Astley,183,Everton FC,2022
Luke Ayling,183,Leeds United,2022
Kwadwo Baah,183,Watford FC,2022
Scott Banks,183,Crystal Palace,2022
Lamare Bogarde,183,Aston Villa,2022
Sam Byram,183,Norwich City,2022
Ben Chrisene,183,Aston Villa,2022
Charlie Cresswell,183,Leeds United,2022
Patson Daka,183,Leicester City,2022
Stuart Dallas,183,Leeds United,2022
 David Raya,183,Brentford FC,2022
 Diogo Dalot,183,Manchester United,2022
Elijah Dixon-Bonner,183,Liverpool FC,2022
Abdoulaye Doucouré,183,Everton FC,2022
Kieran Dowell,183,Norwich City,2022
Paul Dummett,183,Newcastle United,2022
CJ Egan-Riley,183,Manchester City,2022
 Emerson Royal,183,Tottenham Hotspur,2022
Evan Ferguson,183,Brighton & Hove Albion,2022
Dimitris Giannoulis,183,Norwich City,2022
Dan Gosling,183,Watford FC,2022
Archie Gray,183,Leeds United,2022
Demarai Gray,183,Everton FC,2022
Ki-Jana Hoever,183,Wolverhampton Wanderers,2022
Alex Iwobi,183,Everton FC,2022
Julian Jeanvier,183,Brentford FC,2022
James Justin,183,Leicester City,2022
Abu Kamara,183,Norwich City,2022
Edo Kayembe,183,Watford FC,2022
Mateusz Klich,183,Leeds United,2022
Ezri Konsa,183,Aston Villa,2022
Albert Lokonga,183,Arsenal FC,2022
Joe McGlynn,183,Burnley FC,2022
Kenny McLean,183,Norwich City,2022
Dwight McNeil,183,Burnley FC,2022
James Morris,183,Watford FC,2022
Wilfred Ndidi,183,Leicester City,2022
Frank Onyeka,183,Brentford FC,2022
 Oriol Romeu,183,Southampton FC,2022
Nicolas Pépé,183,Arsenal FC,2022
Erik Pieters,183,Burnley FC,2022
Freddie Potts,183,West Ham United,2022
Jeremy Sarmiento,183,Brighton & Hove Albion,2022
Malang Sarr,183,Chelsea FC,2022
Kamarai Simon-Swyer,183,West Ham United,2022
Matt Targett,183,Newcastle United,2022
Charlie Taylor,183,Burnley FC,2022
Cenk Tosun,183,Everton FC,2022
 Trincão,183,Wolverhampton Wanderers,2022
Aaron Wan-Bissaka,183,Manchester United,2022
Jordan Ayew,182,Crystal Palace,2022
Yves Bissouma,182,Brighton & Hove Albion,2022
 Bruno Guimarães,182,Newcastle United,2022
Calum Chambers,182,Aston Villa,2022
Matthew Cox,182,Brentford FC,2022
Alfie Devine,182,Tottenham Hotspur,2022
Christian Eriksen,182,Brentford FC,2022
Conor Gallagher,182,Crystal Palace,2022
Anthony Gordon,182,Everton FC,2022
Marc Guéhi,182,Crystal Palace,2022
 João Cancelo,182,Manchester City,2022
 Kenedy,182,Chelsea FC,2022
Marcel Lavinier,182,Tottenham Hotspur,2022
Hayden Lindley,182,Aston Villa,2022
Cole Palmer,182,Manchester City,2022
Charlie Patino,182,Arsenal FC,2022
Jaïro Riedewald,182,Crystal Palace,2022
 Rodrigo,182,Leeds United,2022
Charlie Savage,182,Manchester United,2022
Dane Scarlett,182,Tottenham Hotspur,2022
Emile Smith Rowe,182,Arsenal FC,2022
 Alex Telles,181,Manchester United,2022
Miguel Azeez,181,Arsenal FC,2022
Conor Bradley,181,Liverpool FC,2022
Ben Chilwell,181,Chelsea FC,2022
Ben Davies,181,Tottenham Hotspur,2022
Kevin De Bruyne,181,Manchester City,2022
Samuel Edozie,181,Manchester City,2022
Oliver Ewing,181,Leicester City,2022
Ryan Fredericks,181,West Ham United,2022
John-Kymani Gordon,181,Crystal Palace,2022
Mason Greenwood,181,Manchester United,2022
Pascal Groß,181,Brighton & Hove Albion,2022
Zidane Iqbal,181,Manchester United,2022
Roméo Lavia,181,Manchester City,2022
Sean Longstaff,181,Newcastle United,2022
Brooklyn Lyons-Foster,181,Tottenham Hotspur,2022
Paris Maghoma,181,Brentford FC,2022
Mason Mount,181,Chelsea FC,2022
 Roberto Firmino,181,Liverpool FC,2022
 Thiago Silva,181,Chelsea FC,2022
Luke Thomas,181,Leicester City,2022
Andros Townsend,181,Everton FC,2022
Bertrand Traoré,181,Aston Villa,2022
 Wanya Marçal,181,Leicester City,2022
Max Woltman,181,Liverpool FC,2022
Rayan Aït Nouri,180,Wolverhampton Wanderers,2022
Nathan Aké,180,Manchester City,2022
Trent Alexander-Arnold,180,Liverpool FC,2022
Steven Alzate,180,Brighton & Hove Albion,2022
Michail Antonio,180,West Ham United,2022
Phil Bardsley,180,Burnley FC,2022
Chem Campbell,180,Wolverhampton Wanderers,2022
Tom Davies,180,Everton FC,2022
Luis Díaz,180,Liverpool FC,2022
Tariqe Fosu,180,Brentford FC,2022
Melkamu Frauendorf,180,Liverpool FC,2022
Alejandro Garnacho,180,Manchester United,2022
Sam Greenwood,180,Leeds United,2022
İlkay Gündoğan,180,Manchester City,2022
 Hugo Bueno,180,Wolverhampton Wanderers,2022
Mathias Jensen,180,Brentford FC,2022
Joshua King,180,Watford FC,2022
Dexter Lembikisa,180,Wolverhampton Wanderers,2022
Marc Leonard,180,Brighton & Hove Albion,2022
Shane Long,180,Southampton FC,2022
Matthew Lowton,180,Burnley FC,2022
Anthony Mancini,180,Burnley FC,2022
Solly March,180,Brighton & Hove Albion,2022
Tawanda Maswanhise,180,Leicester City,2022
James McAtee,180,Manchester City,2022
Ben Mee,180,Burnley FC,2022
Vitaliy Mykolenko,180,Everton FC,2022
Eddie Nketiah,180,Arsenal FC,2022
Mark Noble,180,West Ham United,2022
Alex Oxlade-Chamberlain,180,Liverpool FC,2022
Sonny Perkins,180,West Ham United,2022
Teemu Pukki,180,Norwich City,2022
Jacob Ramsey,180,Aston Villa,2022
Tyler Roberts,180,Leeds United,2022
 Rúben Neves,180,Wolverhampton Wanderers,2022
Jadon Sancho,180,Manchester United,2022
Morgan Sanson,180,Aston Villa,2022
Ken Sema,180,Watford FC,2022
Kieran Tierney,180,Arsenal FC,2022
Yan Valery,180,Southampton FC,2022
Matěj Vydra,180,Burnley FC,2022
Ollie Watkins,180,Aston Villa,2022
Jack Wells-Morrison,180,Crystal Palace,2022
Timo Werner,180,Chelsea FC,2022
Brandon Williams,180,Norwich City,2022
Callum Wilson,180,Newcastle United,2022
Wilfried Zaha,180,Crystal Palace,2022
Hakim Ziyech,180,Chelsea FC,2022
Ché Adams,179,Southampton FC,2022
Harrison Ashby,179,West Ham United,2022
Ryan Bertrand,179,Leicester City,2022
Josh Brownhill,179,Burnley FC,2022
 Bruno Fernandes,179,Manchester United,2022
 Chiquinho,179,Wolverhampton Wanderers,2022
Maxwel Cornet,179,Burnley FC,2022
Lucas De Bolle,179,Newcastle United,2022
Ibrahima Diallo,179,Southampton FC,2022
Mohamed Elneny,179,Arsenal FC,2022
 Fernandinho,179,Manchester City,2022
Joe Gelhardt,179,Leeds United,2022
Lewis Hall,179,Chelsea FC,2022
Reece James,179,Chelsea FC,2022
Riyad Mahrez,179,Manchester City,2022
Arthur Masuaku,179,West Ham United,2022
Stuart McKinstry,179,Leeds United,2022
Mathias Normann,179,Norwich City,2022
Kalvin Phillips,179,Leeds United,2022
Finley Stevens,179,Brentford FC,2022
Ivan Toney,179,Brentford FC,2022
Kostas Tsimikas,179,Liverpool FC,2022
Christos Tzolis,179,Norwich City,2022
Jamie Vardy,179,Leicester City,2022
Nikola Vlašić,179,West Ham United,2022
Max Aarons,178,Norwich City,2022
 Ayoze Pérez,178,Leicester City,2022
 Azpilicueta,178,Chelsea FC,2022
Leon Bailey,178,Aston Villa,2022
Steven Bergwijn,178,Tottenham Hotspur,2022
Sammy Braybrooke,178,Leicester City,2022
Moisés Caicedo,178,Brighton & Hove Albion,2022
Hamza Choudhury,178,Leicester City,2022
Kiernan Dewsbury-Hall,178,Leicester City,2022
Tyler Dibling,178,Southampton FC,2022
Lucas Digne,178,Aston Villa,2022
 Diogo Jota,178,Liverpool FC,2022
Owen Dodgson,178,Burnley FC,2022
Anthony Elanga,178,Manchester United,2022
Mohamed Elyounoussi,178,Southampton FC,2022
Eberechi Eze,178,Crystal Palace,2022
James Furlong,178,Brighton & Hove Albion,2022
 Gabriel Martinelli,178,Arsenal FC,2022
Liam Gibbs,178,Norwich City,2022
Jack Grieves,178,Watford FC,2022
Danny Ings,178,Aston Villa,2022
 Jorginho,178,Chelsea FC,2022
Jamal Lewis,178,Newcastle United,2022
Imrân Louza,178,Watford FC,2022
 Manquillo,178,Newcastle United,2022
 Marçal,178,Wolverhampton Wanderers,2022
James McArthur,178,Crystal Palace,2022
John McGinn,178,Aston Villa,2022
Kazeem Olaigbe,178,Southampton FC,2022
Daniel Oyegoke,178,Brentford FC,2022
Martin Ødegaard,178,Arsenal FC,2022
 Pablo Fornals,178,West Ham United,2022
Przemysław Płacheta,178,Norwich City,2022
Christian Pulišić,178,Chelsea FC,2022
Jesurun Rak-Sakyi,178,Crystal Palace,2022
 Reguilón,178,Tottenham Hotspur,2022
Lewis Richardson,178,Burnley FC,2022
Andy Robertson,178,Liverpool FC,2022
Lukas Rupp,178,Norwich City,2022
Bukayo Saka,178,Arsenal FC,2022
Jeffrey Schlupp,178,Crystal Palace,2022
Ryan Sessegnon,178,Tottenham Hotspur,2022
Luke Shaw,178,Manchester United,2022
Kyle Walker,178,Manchester City,2022
Harry Winks,178,Tottenham Hotspur,2022
Tayo Adaramola,177,Crystal Palace,2022
Owen Beck,177,Liverpool FC,2022
Kgaogelo Chauke,177,Southampton FC,2022
Daniel Chesters,177,West Ham United,2022
Séamus Coleman,177,Everton FC,2022
Moussa Djénépo,177,Southampton FC,2022
 Douglas Luiz,177,Aston Villa,2022
Callum Hudson-Odoi,177,Chelsea FC,2022
Hee-chan Hwang,177,Wolverhampton Wanderers,2022
Samuel Kalu,177,Watford FC,2022
Mateo Kovačić,177,Chelsea FC,2022
Hannibal Mejbri,177,Manchester United,2022
Andrew Moran,177,Brighton & Hove Albion,2022
Romaine Mundle,177,Tottenham Hotspur,2022
Marvelous Nakamba,177,Aston Villa,2022
 Nélson Semedo,177,Wolverhampton Wanderers,2022
Salah-Eddine Oulad M'Hand,177,Arsenal FC,2022
Milot Rashica,177,Norwich City,2022
 Sergi Canós,177,Brentford FC,2022
Thierry Small,177,Southampton FC,2022
James Ward-Prowse,177,Southampton FC,2022
Charlie Webster,177,Chelsea FC,2022
Dylan Williams,177,Chelsea FC,2022
Lewis Dobbin,176,Everton FC,2022
Saman Ghoddos,176,Brentford FC,2022
Cucho Hernández,176,Watford FC,2022
Kyle John,176,Everton FC,2022
Jonjoe Kenny,176,Everton FC,2022
 Raphinha,176,Leeds United,2022
Youri Tielemans,176,Leicester City,2022
Josh Wilson-Esbrand,176,Manchester City,2022
Yoane Wissa,176,Brentford FC,2022
Marc Albrighton,175,Leicester City,2022
 Allan,175,Everton FC,2022
Shandon Baptiste,175,Brentford FC,2022
Jamie Bowden,175,Tottenham Hotspur,2022
Jarrod Bowen,175,West Ham United,2022
Tom Cleverley,175,Watford FC,2022
Nathaniel Clyne,175,Crystal Palace,2022
Dara Costelloe,175,Burnley FC,2022
Emmanuel Dennis,175,Watford FC,2022
Adam Forshaw,175,Leeds United,2022
 Gabriel Jesus,175,Manchester City,2022
Jack Grealish,175,Manchester City,2022
Jack Harrison,175,Leeds United,2022
Max Haygarth,175,Brentford FC,2022
Tim Iroegbunam,175,Aston Villa,2022
Ben Johnson,175,West Ham United,2022
 Jonny,175,Wolverhampton Wanderers,2022
 Kayky,175,Manchester City,2022
Alexandre Lacazette,175,Arsenal FC,2022
Jesse Lingard,175,Manchester United,2022
James Maddison,175,Leicester City,2022
Liam McCarron,175,Leeds United,2022
James Milner,175,Liverpool FC,2022
Tyrick Mitchell,175,Crystal Palace,2022
 Ricardo Pereira,175,Leicester City,2022
Connor Roberts,175,Burnley FC,2022
Mo Salah,175,Liverpool FC,2022
Oliver Skipp,175,Tottenham Hotspur,2022
Theo Walcott,175,Southampton FC,2022
Charlie Wellens,175,Manchester United,2022
Ashley Young,175,Aston Villa,2022
Nathan Young-Coombes,175,Brentford FC,2022
Oleksandr Zinchenko,175,Manchester City,2022
Miguel Almirón,174,Newcastle United,2022
Keenan Appiah-Forson,174,West Ham United,2022
Harvey Barnes,174,Leicester City,2022
Vladimír Coufal,174,West Ham United,2022
Fabian Delph,174,Everton FC,2022
Peter Etebo,174,Watford FC,2022
Shaqai Forde,174,Watford FC,2022
Dwight Gayle,174,Newcastle United,2022
Omari Hutchinson,174,Arsenal FC,2022
 Kiko Femenía,174,Watford FC,2022
Ademola Lookman,174,Leicester City,2022
Alexis Mac Allister,174,Brighton & Hove Albion,2022
Sadio Mané,174,Liverpool FC,2022
Takumi Minamino,174,Liverpool FC,2022
Tony Springett,174,Norwich City,2022
Crysencio Summerville,174,Leeds United,2022
 Thiago,174,Liverpool FC,2022
Ashley Westwood,174,Burnley FC,2022
Henry Wise,174,Watford FC,2022
Adam Armstrong,173,Southampton FC,2022
 Bernardo Silva,173,Manchester City,2022
Adrian Blake,173,Watford FC,2022
Dan Burn,201,Brighton & Hove Albion,2021
Fraser Forster,201,Southampton FC,2021
Daniel Langley,201,Newcastle United,2021
Jannik Vestergaard,199,Southampton FC,2021
Wayne Hennessey,198,Crystal Palace,2021
Illan Meslier,198,Leeds United,2021
Arthur Okonkwo,198,Arsenal FC,2021
Nick Pope,198,Burnley FC,2021
George Wickens,198,Fulham FC,2021
 Robert Sánchez,197,Brighton & Hove Albion,2021
James Trafford,197,Manchester City,2021
Reece Welch,197,Everton FC,2021
Tosin Adarabioyo,196,Fulham FC,2021
Jack Butland,196,Crystal Palace,2021
Joe Hart,196,Tottenham Hotspur,2021
Tyrone Mings,196,Aston Villa,2021
Jakub Ojrzyński,196,Liverpool FC,2021
Robin Olsen,196,Everton FC,2021
Tyler Onyango,196,Everton FC,2021
Frederik Alves Ibsen,195,West Ham United,2021
Alphonse Aréola,195,Fulham FC,2021
Sander Berge,195,Sheffield United,2021
Willy Boly,195,Wolverhampton Wanderers,2021
Billy Koumetio,195,Liverpool FC,2021
Emiliano Martínez,195,Aston Villa,2021
Joel Matip,195,Liverpool FC,2021
Yerry Mina,195,Everton FC,2021
Christian Walton,195,Brighton & Hove Albion,2021
Rhys Williams,195,Liverpool FC,2021
Tammy Abraham,194,Chelsea FC,2021
Kyle Bartley,194,West Bromwich Albion,2021
Scott Dann,194,Crystal Palace,2021
Issa Diop,194,West Ham United,2021
Björn Engels,194,Aston Villa,2021
Maximilian Kilman,194,Wolverhampton Wanderers,2021
Harry Maguire,194,Manchester United,2021
Nemanja Matić,194,Manchester United,2021
Edouard Mendy,194,Chelsea FC,2021
Ákos Onódi,194,Aston Villa,2021
Bailey Peacock-Farrell,194,Burnley FC,2021
Marek Rodák,194,Fulham FC,2021
Matija Šarkić,194,Wolverhampton Wanderers,2021
Jakub Stolarczyk,194,Leicester City,2021
Harry Tyrer,194,Everton FC,2021
Semi Ajayi,193,West Bromwich Albion,2021
Gary Cahill,193,Crystal Palace,2021
Andy Carroll,193,Newcastle United,2021
Shane Duffy,193,Brighton & Hove Albion,2021
Olivier Giroud,193,Chelsea FC,2021
Lee Grant,193,Manchester United,2021
Kai Havertz,193,Chelsea FC,2021
Michael Hector,193,Fulham FC,2021
Karl Hein,193,Arsenal FC,2021
Stephen Henderson,193,Crystal Palace,2021
Liam Hughes,193,Liverpool FC,2021
Sam Johnstone,193,West Bromwich Albion,2021
Andy Lonergan,193,West Bromwich Albion,2021
Alex McCarthy,193,Southampton FC,2021
Ben Nelson,193,Leicester City,2021
 Pablo Marí,193,Arsenal FC,2021
Isaac Price,193,Everton FC,2021
Joe Rodon,193,Tottenham Hotspur,2021
Allan Tchaptchet,193,Southampton FC,2021
Virgil van Dijk,193,Liverpool FC,2021
Oliwier Zych,193,Aston Villa,2021
Joachim Andersen,192,Fulham FC,2021
 De Gea,192,Manchester United,2021
Lewis Dunk,192,Brighton & Hove Albion,2021
 João Virgínia,192,Everton FC,2021
Jean-Philippe Mateta,192,Crystal Palace,2021
Kevin McDonald,192,Fulham FC,2021
Sergio Romero,192,Manchester United,2021
John Ruddy,192,Wolverhampton Wanderers,2021
Tomáš Souček,192,West Ham United,2021
James Tomkins,192,Crystal Palace,2021
 Alisson Becker,191,Liverpool FC,2021
David Button,191,West Bromwich Albion,2021
Elia Caprile,191,Leeds United,2021
Mbaye Diagne,191,West Bromwich Albion,2021
Eric Dier,191,Tottenham Hotspur,2021
Martin Dúbravka,191,Newcastle United,2021
Jimmy Dunne,191,Burnley FC,2021
Mark Gillespie,191,Newcastle United,2021
Kortney Hause,191,Aston Villa,2021
Eldin Jakupović,191,Leicester City,2021
Teddy Jenks,191,Brighton & Hove Albion,2021
Martin Kelly,191,Crystal Palace,2021
Robin Koch,191,Leeds United,2021
Harry Lewis,191,Southampton FC,2021
Ruben Loftus-Cheek,191,Fulham FC,2021
Scott McTominay,191,Manchester United,2021
Jakub Moder,191,Brighton & Hove Albion,2021
Simon Moore,191,Sheffield United,2021
Angelo Ogbonna,191,West Ham United,2021
Owen Otasowie,191,Wolverhampton Wanderers,2021
Paul Pogba,191,Manchester United,2021
 Rodri,191,Manchester City,2021
Mohammed Salisu,191,Southampton FC,2021
Zack Steffen,191,Manchester City,2021
Sil Swinkels,191,Aston Villa,2021
Danny Ward,191,Leicester City,2021
Adam Webster,191,Brighton & Hove Albion,2021
 Wesley,191,Aston Villa,2021
Chris Wood,191,Burnley FC,2021
Okay Yokuşlu,191,West Bromwich Albion,2021
 Adrián,190,Liverpool FC,2021
Joseph Anang,190,West Ham United,2021
Chris Basham,190,Sheffield United,2021
Christian Benteke,190,Crystal Palace,2021
 Carlos Vinícius,190,Tottenham Hotspur,2021
Theo Corbeanu,190,Wolverhampton Wanderers,2021
Karl Darlow,190,Newcastle United,2021
Harvey Davies,190,Liverpool FC,2021
Łukasz Fabiański,190,West Ham United,2021
 Gabriel Magalhães,190,Arsenal FC,2021
 Guaita,190,Crystal Palace,2021
Daniel Jebbison,190,Sheffield United,2021
Jack Jenkins,190,Leeds United,2021
Raúl Jiménez,190,Wolverhampton Wanderers,2021
 Kiko Casilla,190,Leeds United,2021
Aymeric Laporte,190,Manchester City,2021
Bernd Leno,190,Arsenal FC,2021
Nigel Lonwijk,190,Wolverhampton Wanderers,2021
Felix Nmecha,190,Manchester City,2021
Will Norris,190,Burnley FC,2021
Jack O'Connell,190,Sheffield United,2021
Nathaniel Phillips,190,Liverpool FC,2021
Aaron Ramsdale,190,Sheffield United,2021
Antonio Rüdiger,190,Chelsea FC,2021
 Rui Patrício,190,Wolverhampton Wanderers,2021
Philippe Sandler,190,Manchester City,2021
Pascal Struijk,190,Leeds United,2021
Andrey Yarmolenko,190,West Ham United,2021
Kurt Zouma,190,Chelsea FC,2021
Fabián Balbuena,189,West Ham United,2021
Jan Bednarek,189,Southampton FC,2021
Dominic Calvert-Lewin,189,Everton FC,2021
 David Luiz,189,Arsenal FC,2021
Keinan Davis,189,Aston Villa,2021
Anwar el Ghazi,189,Aston Villa,2021
Federico Fernández,189,Newcastle United,2021
Rob Holding,189,Arsenal FC,2021
 Kepa,189,Chelsea FC,2021
Cheikhou Kouyaté,189,Crystal Palace,2021
 Marcos Alonso,189,Chelsea FC,2021
Aleksandar Mitrović,189,Fulham FC,2021
Dara O'Shea,189,West Bromwich Albion,2021
Divock Origi,189,Liverpool FC,2021
Kasper Schmeichel,189,Leicester City,2021
Alfie Whiteman,189,Tottenham Hotspur,2021
Connor Wickham,189,Crystal Palace,2021
 Willian José,189,Wolverhampton Wanderers,2021
Dele Alli,188,Tottenham Hotspur,2021
 André Gomes,188,Everton FC,2021
Oliver Burke,188,Sheffield United,2021
Scott Carson,188,Manchester City,2021
Oliver Casey,188,Leeds United,2021
 Christian Marques,188,Wolverhampton Wanderers,2021
Craig Dawson,188,West Ham United,2021
Lars Dendoncker,188,Brighton & Hove Albion,2021
Leander Dendoncker,188,Wolverhampton Wanderers,2021
 Ederson,188,Manchester City,2021
Jonny Evans,188,Leicester City,2021
 Fabinho,188,Liverpool FC,2021
Taylor Gardner-Hickman,188,West Bromwich Albion,2021
Joe Gomez,188,Liverpool FC,2021
Tom Heaton,188,Aston Villa,2021
Dean Henderson,188,Manchester United,2021
Harry Kane,188,Tottenham Hotspur,2021
Michael Keane,188,Everton FC,2021
Caoimhín Kelleher,188,Liverpool FC,2021
Terence Kongolo,188,Fulham FC,2021
Jamaal Lascelles,188,Newcastle United,2021
Žan Luk Leban,188,Everton FC,2021
Hugo Lloris,188,Tottenham Hotspur,2021
Kevin Long,188,Burnley FC,2021
Emmanuel Longelo,188,West Ham United,2021
David Martin,188,West Ham United,2021
Alfie Mawson,188,Fulham FC,2021
Oliver McBurnie,188,Sheffield United,2021
Joel Mumbongo,188,Burnley FC,2021
Darren Randolph,188,West Ham United,2021
Jack Rodwell,188,Sheffield United,2021
Romain Saïss,188,Wolverhampton Wanderers,2021
Andreas Søndergaard,188,Wolverhampton Wanderers,2021
Jason Steele,188,Brighton & Hove Albion,2021
John Stones,188,Manchester City,2021
Sidnei Tavares,188,Leicester City,2021
Caleb Taylor,188,West Bromwich Albion,2021
Nathan Trott,188,West Ham United,2021
Eric Bailly,187,Manchester United,2021
Andreas Christensen,187,Chelsea FC,2021
Carney Chukwuemeka,187,Aston Villa,2021
Christian Fuchs,187,Leicester City,2021
Isaac Hayden,187,Newcastle United,2021
Jordan Henderson,187,Liverpool FC,2021
Mason Holgate,187,Everton FC,2021
Victor Lindelöf,187,Manchester United,2021
 Rúben Dias,187,Manchester City,2021
Mamadou Sakho,187,Crystal Palace,2021
Davinson Sánchez,187,Tottenham Hotspur,2021
Moussa Sissoko,187,Tottenham Hotspur,2021
Jay Stansfield,187,Fulham FC,2021
Toby Alderweireld,186,Tottenham Hotspur,2021
Daniel Amartey,186,Leicester City,2021
Tino Anjorin,186,Chelsea FC,2021
Pierre-Emerick Aubameyang,186,Arsenal FC,2021
Jamal Baptiste,186,West Ham United,2021
Willy Caballero,186,Chelsea FC,2021
Liam Cooper,186,Leeds United,2021
Liam Delap,186,Manchester City,2021
Matt Doherty,186,Tottenham Hotspur,2021
Wesley Fofana,186,Leicester City,2021
Jean-Philippe Gbamin,186,Everton FC,2021
Jóhann Guðmundsson,186,Burnley FC,2021
 Joelinton,186,Newcastle United,2021
Ozan Kabak,186,Liverpool FC,2021
 Llorente,186,Leeds United,2021
Teden Mengi,186,Manchester United,2021
Luka Milivojević,186,Crystal Palace,2021
Tim Ream,186,Fulham FC,2021
Alex Rúnarsson,186,Arsenal FC,2021
