Team,Age,Year
Aston Villa,27.0,2023
AFC Bournemouth,26.3,2023
Brentford FC,26.2,2023
Brighton & Hove Albion,26.3,2023
Chelsea FC,26.3,2023
Crystal Palace,26.7,2023
Everton FC,26.6,2023
Fulham FC,28.2,2023
Leeds United,25.3,2023
Leicester City,26.1,2023
Liverpool FC,27.4,2023
Manchester City,27.2,2023
Manchester United,26.9,2023
Newcastle United,27.3,2023
Nottingham Forest,26.5,2023
Southampton FC,24.7,2023
Tottenham Hotspur,27.6,2023
West Ham United,28.2,2023
Wolverhampton Wanderers,26.7,2023
Arsenal FC,25.0,2024
Aston Villa,26.9,2024
AFC Bournemouth,25.7,2024
Brentford FC,26.6,2024
Brighton & Hove Albion,25.9,2024
Burnley FC,24.5,2024
Chelsea FC,24.2,2024
Crystal Palace,26.7,2024
Everton FC,27.1,2024
Fulham FC,28.4,2024
Liverpool FC,26.3,2024
Luton Town,26.7,2024
Manchester City,26.6,2024
Manchester United,26.1,2024
Newcastle United,27.2,2024
Nottingham Forest,25.7,2024
Sheffield United,25.7,2024
Tottenham Hotspur,25.2,2024
West Ham United,28.3,2024
Wolverhampton Wanderers,26.6,2024
